occurrenceyear,occurrencemonth,occurrenceday,occurrencedayofyear,occurrencedayofweek,occurrencehour,MCI,Division,Hood_ID,premisetype,occurenceday
0,7,25.0,41,6,17,0,14,34,4,13
0,7,25.0,41,6,13,2,10,22,3,13
0,7,30.0,42,4,19,0,8,27,4,19
0,7,31.0,43,5,22,1,1,67,4,20
0,7,31.0,43,5,8,1,1,67,4,20
0,7,31.0,43,5,4,0,1,105,3,20
0,7,31.0,43,5,13,2,3,30,3,20
0,7,30.0,42,4,2,0,13,29,2,19
0,7,31.0,43,5,20,1,12,80,4,20
1,2,21.0,108,0,18,0,0,85,0,21
1,5,1.0,109,3,17,0,4,75,1,7
1,2,21.0,108,0,19,1,13,28,0,21
0,11,17.0,110,1,16,0,4,45,0,6
0,1,11.0,111,5,5,1,2,13,1,9
0,1,29.0,112,1,14,0,9,93,1,16
1,0,12.0,113,0,12,1,15,108,0,28
0,5,4.0,114,4,23,1,11,94,4,30
0,4,20.0,115,5,8,1,2,2,0,29
0,6,27.0,116,1,19,1,3,76,1,15
0,10,19.0,117,2,18,3,9,10,4,10
0,11,12.0,118,4,13,1,12,56,1,28
0,9,20.0,119,0,13,1,13,99,4,29
0,3,2.0,120,3,2,1,12,56,0,22
0,4,11.0,121,2,4,0,9,109,3,9
0,0,5.0,122,1,22,3,14,25,0,24
0,11,28.0,123,6,13,0,2,92,1,18
0,8,9.0,124,6,21,2,14,25,3,12
0,7,30.0,42,4,9,1,12,61,2,19
0,0,18.0,0,0,23,1,2,60,4,0
0,7,14.0,125,1,18,1,13,28,0,5
0,1,25.0,65,5,2,0,10,22,0,13
1,9,1.0,126,1,13,0,13,21,4,7
0,8,25.0,86,0,22,0,2,2,4,13
0,8,27.0,78,2,0,2,7,78,4,15
0,3,9.0,44,3,5,0,5,6,2,12
0,0,18.0,0,0,1,0,5,0,2,0
0,2,5.0,127,3,20,0,13,29,2,24
0,2,24.0,22,5,2,2,16,50,3,14
0,1,25.0,65,5,1,2,14,107,0,13
0,8,24.0,85,3,14,1,5,6,0,14
0,3,9.0,44,3,11,1,1,67,4,12
0,6,15.0,49,4,12,3,12,104,3,1
0,2,12.0,128,3,13,0,8,33,2,28
0,0,8.0,9,5,17,0,0,53,3,8
0,0,8.0,9,5,6,0,15,46,2,8
0,0,11.0,10,0,15,1,2,2,1,9
0,0,11.0,10,0,5,1,2,2,1,9
0,0,26.0,14,1,9,0,0,77,1,3
0,0,26.0,14,1,14,1,11,18,2,3
0,0,27.0,23,2,12,2,1,59,3,15
0,0,27.0,23,2,4,2,14,110,0,15
0,0,27.0,23,2,16,3,9,93,4,15
0,0,17.0,12,3,19,0,13,21,1,6
0,0,8.0,9,5,15,0,0,15,2,8
0,0,17.0,12,3,22,0,5,6,3,6
0,0,19.0,13,1,22,0,7,111,4,10
0,0,19.0,13,1,19,1,7,8,4,10
0,0,27.0,23,2,16,0,16,108,3,15
0,0,26.0,14,1,15,1,3,44,0,3
0,0,27.0,23,2,22,0,7,111,4,15
0,0,10.0,129,3,1,2,14,34,3,4
0,5,5.0,96,5,15,0,15,112,2,24
0,2,15.0,130,2,22,1,6,7,0,1
0,2,30.0,131,4,22,1,3,70,0,19
0,4,15.0,132,3,8,0,16,113,3,1
0,4,7.0,133,6,7,1,8,27,0,11
0,4,10.0,79,1,6,2,11,55,3,4
0,4,10.0,79,1,22,0,2,40,3,4
0,4,10.0,79,1,4,0,13,69,1,4
0,4,12.0,134,4,17,1,13,99,4,28
0,4,23.0,30,0,5,1,15,114,1,17
0,0,7.0,15,4,23,0,9,9,1,11
0,4,16.0,25,0,1,0,1,81,4,2
0,4,18.0,26,2,16,0,10,47,1,0
0,4,24.0,27,1,16,0,5,6,3,14
1,10,31.0,135,3,23,0,3,115,1,20
0,4,26.0,80,4,19,0,10,47,3,3
0,2,10.0,28,5,2,0,2,2,0,4
0,2,10.0,28,5,4,0,8,41,2,4
0,2,17.0,6,5,1,2,0,31,3,6
